Country,City,Rank,Overall Rating,Stability,Healthcare,Environment,Education,Infrastructure
Oman,Muscat,89,69.7,80.0,62.5,47.0,83.3,85.7
China,Guangzhou,90,69.4,75.0,62.5,64.6,66.7,76.8
Brazil,Rio de Janeiro,91,69.1,55.0,66.7,77.5,83.3,71.4
Bahrain,Bahrain,92,68.8,60.0,66.7,65.3,91.7,75.0
Paraguay,Asuncion,92,68.8,65.0,66.7,78.7,66.7,64.3
South Africa,Pretoria,94,68.0,50.0,58.3,87.7,83.3,67.9
Brazil,Sao Paulo,95,67.9,55.0,70.8,80.3,66.7,66.1
Panama,Panama City,96,67.8,75.0,54.2,68.1,83.3,64.3
Serbia,Belgrade,97,67.5,60.0,75.0,71.5,75.0,60.7
China,Qingdao,98,67.3,85.0,58.3,60.0,58.3,67.9
Jordan,Amman,99,65.4,65.0,70.8,63.0,75.0,58.9
Kazakhstan,Almaty,100,65.3,75.0,66.7,57.6,66.7,60.7
Brunei,Bandar Seri Begawan,101,64.4,85.0,66.7,38.4,66.7,67.9
Thailand,Bangkok,102,62.5,40.0,62.5,64.4,100.0,69.6
Azerbaijan,Baku,103,62.3,65.0,66.7,60.9,75.0,50.0
Philippines,Manila,104,62.0,60.0,58.3,63.2,66.7,64.3
Ecuador,Quito,105,61.1,50.0,41.7,79.6,75.0,64.3
Mexico,Mexico City,106,60.6,45.0,66.7,76.9,75.0,46.4
Saudi Arabia,Riyadh,107,60.3,75.0,66.7,35.4,58.3,67.9
Tunisia,Tunis,108,59.8,50.0,66.7,60.6,66.7,60.7
Colombia,Bogota,109,59.6,35.0,62.5,75.2,66.7,64.3
India,New Delhi,110,58.9,55.0,58.3,56.9,75.0,58.9
Saudi Arabia,Jeddah,111,58.5,70.0,62.5,30.8,58.3,75.0
Guatemala,Guatemala City,112,58.2,55.0,50.0,71.8,58.3,53.6
Morocco,Casablanca,113,57.8,65.0,41.7,60.9,58.3,60.7
Turkey,Istanbul,113,57.8,45.0,50.0,68.8,58.3,67.9
India,Mumbai,115,56.9,60.0,54.2,56.3,66.7,51.8
Uzbekistan,Tashkent,116,54.6,50.0,58.3,53.0,75.0,48.2
Indonesia,Jakarta,116,54.6,50.0,45.8,59.3,66.7,57.1
Saudi Arabia,Al Khobar,118,54.2,65.0,62.5,34.0,58.3,55.4
Vietnam,Hanoi,118,54.2,55.0,54.2,53.7,58.3,51.8
Kenya,Nairobi,120,53.1,45.0,45.8,69.9,66.7,42.9
Egypt,Cairo,121,53.0,55.0,45.8,57.4,50.0,53.6
Vietnam,Ho Chi Minh City,122,52.7,55.0,50.0,50.5,66.7,48.2
Venezuela,Caracas,123,51.3,35.0,37.5,61.6,75.0,60.7
Nepal,Kathmandu,124,51.0,65.0,37.5,52.8,58.3,41.1
Zambia,Lusaka,124,51.0,60.0,33.3,56.3,41.7,55.4
Cambodia,Phnom Penh,126,50.7,60.0,37.5,49.3,58.3,50.0
Côte d'Ivoire,Abidjan,127,49.7,45.0,45.8,54.2,50.0,53.6
Sri Lanka,Colombo,128,49.6,55.0,41.7,42.1,66.7,51.8
Senegal,Dakar,129,48.3,50.0,41.7,59.7,50.0,37.5
Iran,Tehran,130,47.2,55.0,62.5,36.6,50.0,33.9
Cameroon,Douala,131,44.0,60.0,25.0,48.4,33.3,42.9
Ukraine,Kiev,132,43.4,20.0,54.2,45.8,75.0,42.9
Zimbabwe,Harare,133,42.6,40.0,20.8,58.6,66.7,35.7
Algeria,Algiers,134,40.9,40.0,45.8,42.6,50.0,30.4
Pakistan,Karachi,134,40.9,20.0,45.8,38.7,66.7,51.8
Libya,Tripoli,136,40.0,30.0,41.7,38.2,50.0,48.2
Nigeria,Lagos,137,39.7,25.0,37.5,53.5,33.3,46.4
PNG,Port Moresby,138,38.9,30.0,37.5,44.2,50.0,39.3
Bangladesh,Dhaka,139,38.7,50.0,29.2,43.3,41.7,26.8
Syria,Damascus,140,29.3,10.0,29.2,44.7,33.3,32.1
